Number,Sentence,Highest_Label,Positive_Score,Neutral_Score,Negative_Score
31,"I will never see you or your son again till you desire it.” Then the Baron took off his gold ring and threw it into the sea, saying: “Never let me see your face till you can show me that ring;” and he let her go.",Neutral,0.052518170326948166,0.5151247382164001,0.4323570430278778
32,"The poor girl wandered on and on, till at last she came to a great noble's castle, and she asked to have some work given to her; and they made her the scullion girl of the castle, for she had been used to such work in the fisherman's hut.",Neutral,0.09816355258226395,0.764809787273407,0.13702665269374847
33,"Now one day, who should she see coming up to the noble's house but the Baron and his brother and his son, her husband.",Neutral,0.043339699506759644,0.8823302984237671,0.07432999461889267
34,She didn't know what to do; but thought they would not see her in the castle kitchen.,Neutral,0.04071468487381935,0.5954415798187256,0.36384376883506775
35,"So she went back to her work with a sigh, and set to cleaning a huge big fish that was to be boiled for their dinner.",Neutral,0.09798705577850342,0.8081628084182739,0.09385009855031967
36,"And, as she was cleaning it, she saw something shine inside it, and what do you think she found?",Neutral,0.32691705226898193,0.6648072004318237,0.008275741711258888
37,"Why, there was the Baron's ring, the very one he had thrown over the cliff at Scarborough.",Neutral,0.03375501185655594,0.6709848046302795,0.29526016116142273
38,"She was right glad to see it, you may be sure.",Positive,0.8872103691101074,0.10748271644115448,0.00530683109536767
39,"Then she cooked the fish as nicely as she could, and served it up.",Positive,0.6570602655410767,0.3359528183937073,0.0069869691506028175
40,"Well, when the fish came on the table, the guests liked it so well that they asked the noble who cooked it.",Positive,0.8124058842658997,0.179799884557724,0.007794259116053581
41,"He said he didn't know, but called to his servants: “Ho, there, send up the cook that cooked that fine fish.” So they went down to the kitchen and told the girl she was wanted in the hall.",Neutral,0.047346897423267365,0.7626755833625793,0.1899774968624115
42,Then she washed and tidied herself and put the Baron's gold ring on her thumb and went up into the hall.,Neutral,0.13724781572818756,0.8495385646820068,0.013213534839451313
43,When the banqueters saw such a young and beautiful cook they were surprised.,Positive,0.8452820777893066,0.14042288064956665,0.014295061118900776
44,"But the Baron was in a tower of a temper, and started up as if he would do her some violence.",Negative,0.015302103944122791,0.39077576994895935,0.5939221382141113
45,So the girl went up to him with her hand before her with the ring on it; and she put it down before him on the table.,Neutral,0.07392700016498566,0.8908437490463257,0.03522918373346329
46,"Then at last the Baron saw that no one could fight against Fate, and he handed her to a seat and announced to all the company that this was his son's true wife; and he took her and his son home to his castle; and they all lived as happy as could be ever afterwards.",Positive,0.8460636734962463,0.14898863434791565,0.004947667475789785
